CCode,USAgree,ChinaAgree
2,1.0,0.14029701566037736
20,0.5175665905660377,0.4108445075471698
31,0.20742695901960784,0.7984786490196079
40,0.11120793415094339,0.856612303773585
41,0.23205684,0.7832963698113208
42,0.23300840647058824,0.751896774509804
51,0.1963894679245283,0.8178002358490566
52,0.19258827452830188,0.8329374264150943
53,0.20938713056603772,0.8099994264150944
54,0.20574741452380954,0.7890010833333333
55,0.1998661908,0.795280506
56,0.1742686708888889,0.8398310555555556
57,0.1844808165116279,0.7989786418604652
58,0.16767979023255813,0.8186051209302325
60,0.2018843092682927,0.7848890878048781
70,0.20222245283018866,0.8007615377358491
80,0.18454343441860466,0.8225411720930232
90,0.25110857433962264,0.7154695320754717
91,0.24282608679245285,0.7415389433962264
92,0.22868680679245285,0.7637959886792454
93,0.19464029886792453,0.7803520415094339
94,0.2472922866037736,0.751510541509434
95,0.23120721566037736,0.7619049603773584
100,0.20192635566037737,0.784325920754717
101,0.16900081509803921,0.8295182627450981
110,0.1888760154716981,0.8420650528301887
115,0.19750563795918366,0.8366779428571429
130,0.1972167867924528,0.8186664150943396
135,0.20795410679245285,0.8006690094339622
140,0.21017318698113208,0.7919192207547169
145,0.20092052867924529,0.7999101339622642
150,0.24549041886792453,0.7283377283018868
155,0.23780980943396224,0.7827386433962265
160,0.23198100301886793,0.7472617566037736
165,0.23103677962264152,0.7470527
200,0.5967278716981133,0.3664910528301887
205,0.3772876471698113,0.5279173924528302
210,0.46089563018867924,0.464090141509434
211,0.47056700188679246,0.44283129433962265
212,0.4681615132075472,0.4535679924528302
220,0.5153887754716981,0.3931631452830189
221,0.43134652258064515,0.5065727645161291
223,0.3631841176470588,0.517470505882353
225,0.35598090909090907,0.5297663318181818
230,0.3863772377358491,0.5562925339622642
232,0.3941343322580645,0.5172735161290322
235,0.41878890188679246,0.5066112145283019
255,0.43244829393939394,0.4891618818181818
260,0.564616188888889,0.3401953722222222
265,0.16336615823529413,0.7436461941176471
290,0.3324583450943396,0.5823631188679246
305,0.36184149811320754,0.5309144226415095
310,0.3361872826415094,0.5757526660377358
315,0.187038455,0.7095211818181818
316,0.44098329354838706,0.49129353548387095
317,0.41987363548387097,0.5045500225806452
325,0.45453430377358495,0.46135366981132075
331,0.395827709375,0.527750459375
338,0.30942318471698116,0.6736208396226415
339,0.2925522283018868,0.6577113490566038
341,0.41665937222222227,0.5058251722222222
343,0.3839823548387097,0.5110648903225806
344,0.40184270625,0.49720579375
